FID,the_geom,CATEGORY,NAME
power_towers.347,POINT (25.1800163 31.5205932),Government and Public Services,Power Tower
power_towers.348,POINT (25.180051 31.5202681),Government and Public Services,Power Tower
power_towers.349,POINT (25.1805422 31.520137),Government and Public Services,Power Tower
power_towers.350,POINT (25.180605 31.5202287),Government and Public Services,Power Tower
power_towers.351,POINT (25.1808914 31.5197266),Government and Public Services,Power Tower
power_towers.352,POINT (25.1811247 31.519763),Government and Public Services,Power Tower
power_towers.353,POINT (25.181203 31.5198536),Government and Public Services,Power Tower
power_towers.354,POINT (25.1813991 31.4407657),Government and Public Services,Power Tower
power_towers.355,POINT (25.1816931 31.5192281),Government and Public Services,Power Tower
power_towers.356,POINT (25.1817072 31.5194016),Government and Public Services,Power Tower
power_towers.357,POINT (25.1817948 31.5194786),Government and Public Services,Power Tower
power_towers.358,POINT (25.1823145 31.5190107),Government and Public Services,Power Tower
power_towers.359,POINT (25.1823309 31.5191379),Government and Public Services,Power Tower
power_towers.360,POINT (25.1825142 31.5186998),Government and Public Services,Power Tower
power_towers.361,POINT (25.182902 31.5186261),Government and Public Services,Power Tower
power_towers.362,POINT (25.1830001 31.518702),Government and Public Services,Power Tower
power_towers.363,POINT (25.1832772 31.5182045),Government and Public Services,Power Tower
power_towers.364,POINT (25.1835177 31.5182485),Government and Public Services,Power Tower
power_towers.365,POINT (25.183592 31.5183288),Government and Public Services,Power Tower
power_towers.366,POINT (25.1839511 31.5177753),Government and Public Services,Power Tower
power_towers.367,POINT (25.1841423 31.517959),Government and Public Services,Power Tower
power_towers.368,POINT (25.184177 31.518033),Government and Public Services,Power Tower
power_towers.369,POINT (25.1847412 31.5172768),Government and Public Services,Power Tower
power_towers.370,POINT (25.1847596 31.4408986),Government and Public Services,Power Tower
power_towers.371,POINT (25.1848611 31.5176231),Government and Public Services,Power Tower
power_towers.372,POINT (25.1848859 31.5176759),Government and Public Services,Power Tower
power_towers.373,POINT (25.185466 31.5173336),Government and Public Services,Power Tower
power_towers.374,POINT (25.1854982 31.5173843),Government and Public Services,Power Tower
power_towers.375,POINT (25.1857132 31.516652),Government and Public Services,Power Tower
power_towers.376,POINT (25.1858799 31.5171328),Government and Public Services,Power Tower
power_towers.377,POINT (25.1858973 31.5171941),Government and Public Services,Power Tower
